COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,INDICE,ipm,saber_punt_global_mean
52,NARIÑO,52435,MALLAMA,"0,71",0.254,321.38461538461536
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,"0,85",0.23961087866108785,235.66666666666666
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,"2,86",0.26594403345127055,287.1923076923077
17,CALDAS,17433,MANZANARES,"4,31",0.20705396825396827,234.62962962962962
19,CAUCA,19455,MIRANDA,"1,05",0.22989817415730338,258.46
05,ANTIOQUIA,05308,GIRARDOTA,"14,80",0.2120180810731992,226.22727272727272
23,CÓRDOBA,23182,CHINÚ,"5,79",0.2646156546156546,234.42857142857142
23,CÓRDOBA,23586,PURÍSIMA,"0,28",0.2646156546156546,182.0
08,ATLÁNTICO,08372,JUAN DE ACOSTA,"1,84",0.2301888,331.5
19,CAUCA,19473,MORALES,"0,37",0.22989817415730338,259.45
86,PUTUMAYO,86568,PUERTO ASÍS,"11,31",0.23961087866108785,257.9390243902439
73,TOLIMA,73270,FALAN,"1,74",0.23386718750000002,213.75
44,LA GUAJIRA,44560,MANAURE,"0,68",0.31803024846957145,198.33333333333334
73,TOLIMA,73555,PLANADAS,"2,08",0.23386718750000002,237.5
05,ANTIOQUIA,05665,SAN PEDRO DE URABA,"3,66",0.2120180810731992,221.41666666666666
05,ANTIOQUIA,05002,ABEJORRAL,"5,09",0.2120180810731992,227.0
54,NORTE DE SANTANDER,54720,SARDINATA,"0,33",0.26416399286987524,280.45454545454544
19,CAUCA,19585,PURACÉ,"0,40",0.22989817415730338,282.42857142857144
15,BOYACÁ,15469,MONIQUIRÁ,"1,64",0.21142715559960357,277.8253968253968
20,CESAR,20011,AGUACHICA,"8,27",0.261579879560751,255.77777777777777
73,TOLIMA,73319,GUAMO,"5,10",0.23386718750000002,274.2307692307692
47,MAGDALENA,47555,PLATO,"2,53",0.2781801670904468,243.2
19,CAUCA,19785,SUCRE,"0,19",0.22989817415730338,251.55555555555554
17,CALDAS,17541,PENSILVANIA,"5,17",0.20705396825396827,296.22222222222223
68,SANTANDER,68385,LANDÁZURI,"1,48",0.20767434317223482,283.3333333333333
15,BOYACÁ,15542,PESCA,"2,82",0.21142715559960357,267.42857142857144
68,SANTANDER,68271,FLORIÁN,"1,28",0.20767434317223482,285.1
05,ANTIOQUIA,05145,CARAMANTA,"5,48",0.2120180810731992,209.0
15,BOYACÁ,15632,SABOYÁ,"0,63",0.21142715559960357,263.23809523809524
44,LA GUAJIRA,44001,RIOHACHA,"11,59",0.31803024846957145,225.2995951417004
13,BOLÍVAR,13894,ZAMBRANO,"2,09",0.26594403345127055,204.5
08,ATLÁNTICO,08849,USIACURÍ,"0,06",0.2301888,238.0
15,BOYACÁ,15232,CHÍQUIZA,"0,56",0.21142715559960357,279.5
25,CUNDINAMARCA,25491,NOCAIMA,"2,72",0.19428256765261168,221.0
25,CUNDINAMARCA,25799,TENJO,"7,62",0.19428256765261168,286.2857142857143
41,HUILA,41885,YAGUARÁ,"1,72",0.22292018170019468,258.61538461538464
08,ATLÁNTICO,08606,REPELÓN,"2,04",0.2301888,203.0
05,ANTIOQUIA,05030,AMAGÁ,"9,94",0.2120180810731992,240.75
15,BOYACÁ,15212,COPER,"2,18",0.21142715559960357,280.8333333333333
17,CALDAS,17665,SAN JOSÉ,"3,16",0.20705396825396827,299.0
73,TOLIMA,73275,FLANDES,"10,09",0.23386718750000002,225.96774193548387
41,HUILA,41770,SUAZA,"0,48",0.22292018170019468,282.962962962963
25,CUNDINAMARCA,25612,RICAURTE,"9,96",0.19428256765261168,237.875
47,MAGDALENA,47161,CERRO SAN ANTONIO,"0,08",0.2781801670904468,193.0
68,SANTANDER,68318,GUACA,"1,10",0.20767434317223482,257.0
73,TOLIMA,73547,PIEDRAS,"3,26",0.23386718750000002,245.5
05,ANTIOQUIA,05885,YALÍ,"12,47",0.2120180810731992,243.5
23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,"0,10",0.2646156546156546,217.11111111111111
20,CESAR,20032,ASTREA,"0,29",0.261579879560751,226.4
70,SUCRE,70230,CHALÁN,"0,13",0.2775482487491065,184.2
81,ARAUCA,81001,ARAUCA,"7,99",0.24664762741652022,247.95604395604394
52,NARIÑO,52835,TUMACO - SAN ANDRES DE TUMACO,"1,66",0.254,237.41346153846155
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,"7,96",0.2120180810731992,238.0
20,CESAR,20383,LA GLORIA,"0,13",0.261579879560751,245.33333333333334
25,CUNDINAMARCA,25745,SIMIJACA,"5,24",0.19428256765261168,252.78571428571428
